month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.3007779020436484,0.8639848438427423,0.13601515615725768,0.9250324615176772,0.197,0.07718576162415847,34.46666666666667,"Wichita, KS"
2,0.4012842360071659,0.8038112389074864,0.19618876109251357,0.8740913328941542,0.346,0.07104193843431844,30.41176470588235,"Wichita, KS"
3,0.39985791037213786,0.8053115280574795,0.19468847194252045,0.8771653854038814,0.357,0.0588367594800054,30.41176470588235,"Wichita, KS"
4,0.4871229465691411,0.7531927776060824,0.2468072223939176,0.8359122618910286,0.291,0.03767261931537043,25.85,"Wichita, KS"
5,0.39008641277826567,0.8100969295525418,0.18990307044745824,0.885480693904279,0.331,0.0527716551961975,30.41176470588235,"Wichita, KS"
6,0.37877658497732186,0.819512733002464,0.18048726699753606,0.8939088619046602,0.297,0.0595902118663128,32.3125,"Wichita, KS"
7,0.4327490259083772,0.7881549132847926,0.21184508671520738,0.864015959379187,0.285,0.056066603691541844,28.72222222222222,"Wichita, KS"
8,0.4237145618467638,0.7935795627089688,0.20642043729103124,0.8679824721569852,0.236,0.05776468295023466,30.41176470588235,"Wichita, KS"
9,0.461627215338242,0.7696826434847779,0.2303173565152221,0.8488061774512439,0.35,0.05737108842007407,27.210526315789473,"Wichita, KS"
10,0.461627215338242,0.7696826434847779,0.2303173565152221,0.8488061774512439,0.35,0.05737108842007407,27.210526315789473,"Wichita, KS"
11,0.40359497553303253,0.806006095572757,0.19399390442724299,0.885233589066873,0.293,0.060234957191909196,32.3125,"Wichita, KS"
12,0.42400608877964857,0.7911006838880124,0.2088993161119877,0.8706727310494868,0.37,0.05220937729596809,30.41176470588235,"Wichita, KS"
