month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.5801610471763078,0.70487538428228,0.29512461571772,0.8231905197393796,0.201,0.08760527570316223,54.375,"Winston-Salem, NC"
2,0.592763616940497,0.6957000785084284,0.30429992149157165,0.817171432440128,0.178,0.08088352137295408,54.375,"Winston-Salem, NC"
3,0.5376126612601785,0.7292367977458122,0.2707632022541878,0.8375501324633138,0.286,0.07034800572064198,43.5,"Winston-Salem, NC"
4,0.6096226648080867,0.6818252284319751,0.31817477156802493,0.7896476985804567,0.352,0.049891413740134546,36.25,"Winston-Salem, NC"
5,0.6358405006671815,0.6672677515250386,0.3327322484749614,0.7919444411453035,0.181,0.05950527040627152,48.333333333333336,"Winston-Salem, NC"
6,0.5804103593625478,0.7065159929395938,0.2934840070604063,0.8241642391011899,0.274,0.06488161449229303,48.333333333333336,"Winston-Salem, NC"
7,0.627370108406606,0.6740812790586715,0.32591872094132845,0.7877502844271098,0.28,0.06453731659515864,43.5,"Winston-Salem, NC"
8,0.6203248614356651,0.6834595306004511,0.31654046939954894,0.8086363134934963,0.272,0.06698977700090047,54.375,"Winston-Salem, NC"
9,0.5350475893540234,0.7308309572886822,0.26916904271131786,0.8373890405183951,0.307,0.06624291540865512,43.5,"Winston-Salem, NC"
10,0.5445678465415312,0.724557791125098,0.275442208874902,0.8342232056234935,0.277,0.06624291540865512,43.5,"Winston-Salem, NC"
11,0.5408761290053663,0.7269150731252226,0.27308492687477737,0.8356857830002649,0.275,0.0696805974892738,43.5,"Winston-Salem, NC"
12,0.5364892209590999,0.7298736361515099,0.2701263638484901,0.8378903918405883,0.281,0.06522061549870226,43.5,"Winston-Salem, NC"
